"ID","Drone","Varroa","Day","Mo","Year","Geocluster","City_original","City_rename","State","Country","Latitude","Longitude","Other_obs","Weather","Collector","Beekeeper","S_sample","S_site"
"230301_A","","Unknown",NA,NA,1991,"Unknown","Unknown","","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA
"230301_B","","Unknown",NA,NA,1991,"Unknown","Unknown","","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA
"231188_A","","Unknown",30,9,1992,"BOR","LAJOYA","","TEXAS","USA",26.247017,-98.481409,"STATION 2 TRAP B = EXPOSED COLONY. NO BRROD, COMB, OR POLLEN TRAP X = "" "" COLONY JUST LANDED.",NA,NA,NA,23.1188,23
"231188_B","","Unknown",30,9,1992,"BOR","LAJOYA","","TEXAS","USA",26.247017,-98.481409,"STATION 2 TRAP B = EXPOSED COLONY. NO BRROD, COMB, OR POLLEN TRAP X = "" "" COLONY JUST LANDED.",NA,NA,NA,23.1188,23
"238408_A","","Unknown",NA,NA,NA,"Unknown","Unknown","","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA
"238408_B","","Unknown",NA,NA,NA,"Unknown","Unknown","","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA
"312516","","Unknown",NA,NA,1988,"Unknown","Unknown","","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA
"260530_A","","Unknown",18,9,1991,"BOR","MCALLEN","","TEXAS","USA",26.203407,-98.230012,NA,NA,NA,NA,26.053,26
"260530_B","","Unknown",18,9,1991,"BOR","MCALLEN","","TEXAS","USA",26.203407,-98.230012,NA,NA,NA,NA,26.053,26
"1292","","Unknown",NA,NA,1989,"Unknown","Unknown","","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA
"280396_A","YES","Unknown",30,4,1991,"BOR","PUNTA","","TEXAS","USA",NA,NA,NA,NA,NA,NA,28.0396,28
"280396_B","YES","Unknown",30,4,1991,"BOR","PUNTA","","TEXAS","USA",NA,NA,NA,NA,NA,NA,28.0396,28
"280748_A","","Unknown",5,5,1992,"BOR","PUNTA","","TEXAS","USA",NA,NA,"STATION 1 = CHANGED CAPS AND LABELOS FOR CONGELADAS 0748 AND 1749 STATION 1 TRAP H = 3RD GEN. EGGS. LOST ABOUT 500 BEES. THEY WERE STUCK ON HONEY. HONEY EVERYWHERE. QUEEN NOT FOUND IN FIELD. CHANGED",NA,NA,NA,28.0748,28
"280748_B","","Unknown",5,5,1992,"BOR","PUNTA","","TEXAS","USA",NA,NA,"STATION 1 = CHANGED CAPS AND LABELOS FOR CONGELADAS 0748 AND 1749 STATION 1 TRAP H = 3RD GEN. EGGS. LOST ABOUT 500 BEES. THEY WERE STUCK ON HONEY. HONEY EVERYWHERE. QUEEN NOT FOUND IN FIELD. CHANGED",NA,NA,NA,28.0748,28
"288327_A","","Unknown",NA,NA,1992,"Unknown","Unknown","","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA
"288327_B","","Unknown",NA,NA,1992,"Unknown","Unknown","","Unknown","Unknown",NA,NA,NA,NA,NA,NA,NA,NA
