SAMPLE_ID,Drone,Day,Mo,Year,City_original,State,Country,Location-new,Geocluster,Latitude,Longitude,Collector,Varroa,Other_obs,Weather,Beekeeper
1932,,16,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"1.950KG, MIEL Y POLEN, PRES DE ZANG, CELDILLA DE ZANG",DESPEJADO,TRAPLINE
1933,,16,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"0.700KG, MIEL Y POLEN, NO ZANG",DESPEJADO,TRAPLINE
1934,,16,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"0.350KG, MIEL Y POLEN, NO ZANG",DESPEJADO,TRAPLINE
1935,YES,16,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"0.700KG, MIEL, POLEN Y ZANG, PRESENCIA DE ZANGANOS.",DESPEJADO,TRAPLINE
1936,,18,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"0.700KG, MIEL Y POLEN, NO ZANG",DESPEJADO,TRAPLINE
1937,,18,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"0.700KG, MIEL Y POLEN, NO ZANG",DESPEJADO,TRAPLINE
1938,,18,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"1.250KG, MUCHA MIEL Y POLEN",DESPEJADO,TRAPLINE
1939,,18,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"1.350KG, MOCHO MIEL Y POLEN, QUEEN?",DESPEJADO,TRAPLINE
1940,,18,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"0.750KG, HAY MIEL Y POLEN, NO ZANG, TIEME POLOLLA",DESPEJADO,TRAPLINE
1941,,18,10,1991,VICT-SLM,TAMAULIPAS,MEXICO,Ciudad Victoria region,TAM,23.71975,-99.12989,"JHZM,MDR",NA,"0.600KG, POCO MIEL Y POLEN, PRES DE ZANG",DESPEJADO,TRAPLINE
